Overall Qual,Exter Qual,Bsmt Qual,1st Flr SF,Gr Liv Area,Kitchen Qual,Fireplace Qu,Garage Finish,Garage Area,Mas Vnr Avail,House_Style_1Story,House_Style_2Story,House_Style_Others,Foundation__CBlock,Foundation__Others,Foundation__PConc,Area_Side_East,Area_Side_North,Area_Side_South,Area_Side_West,Total_Bath,Age,Age_Renov,Bsmt_QC,Area_Rm_Ratio,SalePrice
6.0,3.0,3.0,725,1479,3.0,0.0,2.0,475.0,1,0,1,0,1,0,0,0,0,0,1,2.5,34,5,2175.0,246.5,130500
7.0,3.0,4.0,913,2122,3.0,3.0,2.0,559.0,1,0,1,0,0,0,1,0,0,0,1,3.5,13,12,2739.0,265.25,220000
5.0,2.0,3.0,1057,1057,3.0,0.0,1.0,246.0,0,1,0,0,1,0,0,0,1,0,0,2.0,57,3,3171.0,211.4,109000
5.0,2.0,4.0,744,1444,2.0,0.0,3.0,400.0,0,0,1,0,0,0,1,0,0,1,0,2.5,4,3,1152.0,206.29,174000
6.0,2.0,2.0,831,1445,2.0,0.0,1.0,484.0,0,0,0,1,0,0,1,0,0,0,1,2.0,110,17,2704.0,240.83,138500
6.0,3.0,3.0,1888,1888,3.0,4.0,3.0,578.0,0,1,0,0,1,0,0,0,1,0,0,2.5,44,8,4551.0,314.67,190000
6.0,2.0,4.0,1072,1072,2.0,0.0,3.0,525.0,1,0,0,1,0,0,1,0,0,0,1,3.0,1,0,1641.0,214.4,140000
5.0,2.0,3.0,1188,1188,2.0,0.0,2.0,531.0,1,1,0,0,1,0,0,0,1,0,0,2.0,51,51,3564.0,198.0,142000
5.0,2.0,3.0,924,924,2.0,0.0,1.0,420.0,0,1,0,0,1,0,0,1,0,0,0,1.0,55,55,2772.0,154.0,112500
5.0,2.0,4.0,1040,2080,1.0,3.0,1.0,504.0,1,0,1,0,0,0,1,0,1,0,0,2.5,38,38,3120.0,231.11,135000
6.0,2.0,3.0,483,987,2.0,0.0,1.0,264.0,1,0,1,0,1,0,0,0,1,0,0,1.5,37,37,1449.0,246.75,85400
7.0,3.0,4.0,1208,1208,3.0,0.0,2.0,632.0,0,1,0,0,0,0,1,0,0,0,1,2.0,1,1,3624.0,201.33,183600
5.0,3.0,0.0,1288,2016,2.0,3.0,1.0,576.0,0,0,1,0,0,0,1,0,0,0,1,1.0,129,2,0.0,288.0,131000
8.0,3.0,4.0,962,1607,3.0,0.0,1.0,480.0,1,0,1,0,0,0,1,0,1,0,0,3.5,9,8,2880.0,229.57,200000
7.0,3.0,4.0,1361,1361,3.0,0.0,2.0,610.0,0,1,0,0,0,0,1,0,0,0,1,2.0,1,1,4053.0,226.83,193000
5.0,2.0,5.0,1430,1430,3.0,0.0,2.0,624.0,0,1,0,0,0,0,1,0,0,1,0,2.0,6,5,4290.0,204.29,173500
5.0,2.0,3.0,624,1344,2.0,0.0,1.0,513.0,0,0,1,0,0,1,0,1,0,0,0,1.0,92,58,1872.0,192.0,98000
5.0,2.0,3.0,1121,1121,2.0,0.0,1.0,480.0,0,1,0,0,0,0,1,0,0,0,1,2.0,46,46,3363.0,224.2,139000
6.0,2.0,3.0,1285,1285,2.0,3.0,2.0,528.0,1,1,0,0,1,0,0,0,0,0,1,1.5,30,30,1980.0,183.57,143500
7.0,2.0,4.0,764,1547,3.0,0.0,1.0,614.0,0,0,1,0,0,0,1,0,1,0,0,2.5,1,1,2268.0,221.0,215200
5.0,2.0,4.0,894,894,2.0,1.0,3.0,450.0,0,1,0,0,1,0,0,0,0,0,1,1.0,39,39,2682.0,178.8,129000
8.0,3.0,4.0,1659,1659,4.0,5.0,3.0,499.0,0,1,0,0,0,0,1,0,1,0,0,3.0,9,9,4503.0,331.8,278000
6.0,2.0,4.0,1187,1187,2.0,0.0,3.0,420.0,0,1,0,0,0,0,1,0,1,0,0,3.0,18,3,3504.0,197.83,185000
5.0,2.0,3.0,1056,1056,2.0,0.0,3.0,572.0,0,1,0,0,1,0,0,0,1,0,0,2.0,51,51,3168.0,211.2,145000
6.0,2.0,3.0,1453,1453,2.0,3.0,2.0,530.0,1,1,0,0,1,0,0,0,1,0,0,3.0,48,48,4359.0,242.17,187500
5.0,2.0,3.0,894,894,2.0,4.0,1.0,336.0,0,1,0,0,1,0,0,0,0,0,1,2.0,45,1,2682.0,178.8,138500
5.0,2.0,3.0,1265,1938,3.0,4.0,1.0,240.0,0,0,0,1,1,0,0,0,0,1,0,2.0,71,13,2826.0,276.86,198000
5.0,2.0,3.0,1034,1991,2.0,0.0,0.0,0.0,0,0,1,0,1,0,0,1,0,0,0,2.0,112,1,2871.0,221.22,119600
5.0,2.0,3.0,672,924,2.0,1.0,1.0,576.0,0,0,0,1,1,0,0,0,1,0,0,1.0,58,1,2016.0,154.0,122900
8.0,3.0,4.0,2524,2524,3.0,4.0,3.0,542.0,0,1,0,0,0,0,1,0,1,0,0,3.5,28,28,7572.0,280.44,278000
8.0,2.0,4.0,792,1517,3.0,4.0,1.0,400.0,0,0,1,0,0,0,1,0,0,1,0,1.0,77,56,2376.0,216.71,230000
8.0,3.0,4.0,1494,1494,4.0,4.0,3.0,481.0,0,1,0,0,0,0,1,0,1,0,0,2.5,11,10,5976.0,249.0,270000
6.0,2.0,3.0,948,948,2.0,0.0,1.0,410.0,0,1,0,0,1,0,0,0,1,0,0,1.0,55,55,2844.0,189.6,125000
8.0,3.0,5.0,1718,1718,3.0,4.0,2.0,826.0,1,1,0,0,0,0,1,0,0,0,1,3.0,2,1,5115.0,245.43,297000
6.0,2.0,4.0,1142,1142,2.0,4.0,2.0,384.0,1,1,0,0,1,0,0,0,1,0,0,1.0,51,51,480.0,228.4,113500
5.0,2.0,3.0,925,1475,2.0,3.0,2.0,336.0,0,0,1,0,0,0,1,0,0,1,0,2.0,29,29,2271.0,245.83,127000
6.0,2.0,4.0,1844,1844,2.0,3.0,2.0,546.0,1,1,0,0,1,0,0,0,1,0,0,2.0,33,33,5532.0,263.43,190000
7.0,2.0,3.0,1242,1242,2.0,3.0,1.0,528.0,1,1,0,0,1,0,0,0,1,0,0,1.5,34,34,3726.0,207.0,175500
5.0,2.0,4.0,990,990,2.0,0.0,1.0,384.0,0,1,0,0,0,0,1,0,0,0,1,2.0,13,13,3960.0,198.0,146000
5.0,3.0,3.0,1256,1256,2.0,0.0,3.0,276.0,0,1,0,0,1,0,0,0,0,0,1,2.5,43,43,3768.0,209.33,147500
5.0,2.0,4.0,1110,1110,3.0,3.0,3.0,602.0,1,0,0,1,0,0,1,0,0,1,0,2.0,31,31,3291.0,277.5,165500
5.0,2.0,3.0,1050,1795,2.0,0.0,1.0,352.0,1,0,0,1,0,1,0,1,0,0,0,2.0,54,54,3150.0,256.43,131500
5.0,2.0,3.0,1040,1040,2.0,0.0,1.0,384.0,0,1,0,0,1,0,0,0,0,0,1,2.0,43,43,3120.0,208.0,129500
8.0,2.0,3.0,983,1873,2.0,4.0,3.0,786.0,1,0,1,0,0,0,1,0,0,1,0,1.5,73,58,1216.0,208.11,257076
5.0,2.0,3.0,984,1604,2.0,0.0,1.0,660.0,0,0,0,1,1,0,0,0,0,0,1,2.0,68,49,2952.0,267.33,117000
7.0,2.0,4.0,851,1502,2.0,4.0,2.0,270.0,0,0,1,0,0,1,0,0,0,1,0,1.5,77,8,2328.0,250.33,149000
5.0,2.0,3.0,1063,1063,2.0,0.0,2.0,280.0,1,1,0,0,1,0,0,0,1,0,0,2.0,56,56,3168.0,177.17,128000
7.0,3.0,4.0,764,1626,3.0,0.0,2.0,474.0,1,0,1,0,0,0,1,0,1,0,0,2.5,5,4,2292.0,271.0,155000
6.0,3.0,4.0,768,1524,3.0,0.0,1.0,440.0,1,0,1,0,0,0,1,0,1,0,0,2.5,6,6,2268.0,381.0,166000
4.0,2.0,3.0,1328,1981,3.0,3.0,1.0,576.0,0,0,0,1,0,1,0,0,0,1,0,3.0,81,59,3366.0,283.0,135000
7.0,2.0,4.0,1392,2784,3.0,3.0,2.0,564.0,1,0,1,0,1,0,0,0,1,0,0,4.5,28,28,4176.0,232.0,250000
4.0,2.0,3.0,546,1092,2.0,0.0,0.0,0.0,0,0,1,0,1,0,0,0,0,1,0,1.5,40,40,1638.0,218.4,76000
6.0,2.0,3.0,1575,1575,3.0,4.0,1.0,400.0,1,1,0,0,1,0,0,0,1,0,0,1.5,55,55,648.0,315.0,155000
6.0,2.0,3.0,663,1352,2.0,0.0,3.0,299.0,1,0,1,0,1,0,0,0,0,0,1,1.5,41,41,1989.0,193.14,158000
7.0,3.0,4.0,600,1200,3.0,0.0,2.0,480.0,0,0,1,0,0,0,1,0,1,0,0,3.5,6,5,1800.0,300.0,149500
5.0,2.0,3.0,936,936,2.0,0.0,1.0,240.0,0,1,0,0,1,0,0,0,1,0,0,1.0,52,31,2808.0,187.2,121000
6.0,2.0,3.0,1040,1040,2.0,0.0,3.0,293.0,0,1,0,0,1,0,0,0,1,0,0,1.5,54,54,3120.0,173.33,136000
6.0,2.0,4.0,916,1636,2.0,3.0,3.0,386.0,0,0,1,0,0,0,1,0,1,0,0,2.5,12,12,2748.0,233.71,173000
8.0,3.0,4.0,1164,2270,3.0,4.0,3.0,671.0,1,0,1,0,0,0,1,0,1,0,0,2.5,11,3,3456.0,252.22,290000
8.0,3.0,4.0,1184,2610,4.0,4.0,3.0,550.0,0,0,1,0,0,0,1,0,1,0,0,2.5,0,0,3552.0,237.27,303477
7.0,3.0,4.0,1483,1483,2.0,3.0,2.0,690.0,0,1,0,0,1,0,0,0,0,0,1,2.5,33,9,4260.0,370.75,270000
5.0,1.0,3.0,960,1740,4.0,4.0,1.0,225.0,0,0,0,1,0,1,0,1,0,0,0,1.0,88,58,2808.0,290.0,122250
5.0,2.0,3.0,1382,1382,3.0,0.0,1.0,350.0,0,1,0,0,1,0,0,0,1,0,0,1.5,54,54,4146.0,230.33,153000
5.0,2.0,4.0,1120,1120,2.0,0.0,0.0,0.0,0,1,0,0,0,0,1,0,0,1,0,1.0,0,0,3360.0,186.67,147000
7.0,2.0,4.0,567,1098,2.0,4.0,1.0,216.0,0,0,1,0,0,1,0,0,0,1,0,2.0,77,12,1593.0,219.6,148500
7.0,3.0,4.0,976,1708,3.0,0.0,1.0,380.0,1,0,1,0,0,0,1,0,0,0,1,2.0,2,2,2928.0,244.0,130000
7.0,3.0,4.0,1506,1506,3.0,4.0,3.0,440.0,1,1,0,0,0,0,1,0,0,0,0,2.0,1,1,4086.0,251.0,213490
7.0,3.0,4.0,1508,1508,3.0,3.0,2.0,572.0,1,1,0,0,0,0,1,0,0,0,1,2.0,1,0,4524.0,301.6,308030
7.0,3.0,5.0,2032,2032,3.0,0.0,3.0,786.0,1,1,0,0,0,0,1,0,0,1,0,4.0,12,11,5520.0,290.29,300000
6.0,2.0,3.0,1194,1194,2.0,2.0,3.0,539.0,0,1,0,0,1,0,0,0,1,0,0,1.5,47,47,1965.0,199.0,159500
7.0,3.0,4.0,970,1709,3.0,0.0,1.0,380.0,1,0,1,0,0,0,1,0,0,0,1,2.0,2,2,2910.0,244.14,137500
7.0,3.0,4.0,1616,1616,3.0,0.0,2.0,834.0,1,1,0,0,0,0,1,0,1,0,0,2.0,1,1,4848.0,230.86,232000
